from,to,weight,relationship
Le,K,3,1
Le,Lu,2,3
Le,P,3,3
Le,V,3,2
Lu,P,1,3
P,Lu,1,3
K,Le,3,1
K,Lu,0,1
K,P,0,1
K,V,0,1
Lu,Le,2,3
Lu,K,0,1
Lu,V,0,1
V,Le,3,2
V,P,0,1
V,K,0,1
V,Lu,0,1
P,Le,3,3
P,K,0,1
P,V,0,1
